geoName,depression symptoms,signs of depression,am i depressed,depression test,depression quiz,clinical depression,severe depression,major depression,chronic depression,depression diagnosis,depression screening,depression assessment,depression scale,depression severity,depression questionnaire,depression evaluation,always tired,depression nutrition,sleeping too much,no motivation,feeling hopeless,feeling worthless,feeling empty,emotional numbness,can't feel anything,depression habits,no energy to do anything,can't get out of bed,crying for no reason,depression wellness,constant fatigue,can't concentrate,depression routine,depression meditation,depression mindfulness,depression yoga,depression headaches,depression exercise,depression weight gain,depression weight loss,seasonal depression,work stress depression,depression improvement,depression in men,depression chest pain,depression nausea,depression dizziness,depression exhaustion,depression insomnia,depression self care,depression physical symptoms,LGBTQ+ depression support,social media and depression,depression fatigue,depression physical pain,depression reading,depression self help,depression coping,depression management,depression exercises,depression activities,depression diet
Alabama,93,85,77,69,77,78,85,81,85,68,61,61,61,33,50,25,70,66,73,80,80,75,81,60,66,50,100,60,78,66,71,40,50,60,20,25,80,69,90,75,48,50,100,100,66,100,50,20,88,0,83,46,83,58,50,100,50,64,80,66,100,66
Alaska,88,80,91,86,72,84,79,67,71,63,83,38,85,0,75,100,85,100,100,64,0,0,87,0,0,0,0,0,78,0,57,60,0,60,0,0,60,61,0,83,73,0,0,58,0,100,0,0,77,0,0,62,50,75,0,0,100,50,100,0,71,55
Arizona,86,82,72,77,77,71,76,65,76,68,55,61,61,33,50,50,85,66,78,74,60,50,81,40,83,50,100,60,78,66,57,40,50,60,20,50,60,69,70,58,39,50,50,64,33,66,50,20,77,50,66,58,66,58,50,60,50,57,80,66,71,77
Arkansas,97,94,80,84,94,84,97,92,95,68,72,69,76,33,25,25,77,66,78,77,80,75,68,40,66,50,100,40,92,100,71,40,50,60,20,25,60,53,80,83,56,50,0,88,33,100,50,20,77,50,66,59,66,75,100,80,50,57,100,66,85,77
California,87,74,80,81,66,78,70,72,76,68,44,46,57,33,50,25,76,33,78,70,60,25,75,40,50,50,50,40,85,33,42,60,50,60,20,50,60,61,50,41,43,50,50,70,33,66,50,20,66,50,50,65,50,50,50,60,50,50,80,33,57,55
Colorado,76,62,72,73,61,62,67,52,71,52,55,46,61,0,50,25,68,66,69,64,80,50,62,40,66,50,50,60,64,66,71,40,50,60,20,50,40,61,70,58,51,50,0,58,33,66,50,20,66,50,50,63,50,58,50,40,50,42,80,33,42,66
Connecticut,95,74,83,75,77,87,79,72,71,84,72,53,95,33,75,25,77,66,69,61,60,50,68,60,50,0,50,60,71,100,57,40,50,80,40,75,60,61,80,66,68,0,50,70,33,66,50,20,66,50,66,63,50,66,50,60,50,50,80,33,71,77
Delaware,93,97,86,80,72,100,91,85,61,89,83,69,76,0,50,0,93,0,82,70,60,50,87,60,83,0,100,100,71,100,71,100,100,60,40,50,80,61,90,50,73,50,0,76,66,66,0,40,66,0,66,55,66,58,0,60,100,42,100,66,85,77
District of Columbia,75,61,66,52,55,81,52,54,61,63,100,53,95,66,100,0,57,33,56,48,60,0,56,40,33,0,0,60,50,100,57,60,0,60,0,50,20,53,50,33,70,0,0,52,0,66,0,0,33,0,33,100,66,50,0,40,25,85,80,0,57,66
Florida,75,73,63,75,55,65,76,72,66,57,50,53,52,33,50,25,80,66,65,70,60,50,62,40,66,50,50,40,64,66,57,40,50,40,0,25,40,53,60,50,29,50,50,64,33,66,50,20,66,50,50,51,50,50,50,40,50,42,80,33,71,55
